id,jawaban_a,jawaban_b,jawaban_c,jawaban_d,jawaban_e,tingkat_kesukaran,daya_pembeda,cluster
1b4f4cf1-5783-11ea-b304-86cbb67d2138,0.36058009228740934,0.04218852999340804,0.3150955833882663,0.23665128543177325,0.03889255108767304,0.36058,0.410758,2
1b4f4cf2-5783-11ea-b304-86cbb67d2138,0.13711272247857614,0.3137771918259723,0.3770599868160844,0.07712590639419907,0.08701384311140409,0.37706,0.271394,2
1b4f4cff-5783-11ea-b304-86cbb67d2138,0.26499670402109426,0.1054713249835201,0.4377059986816084,0.12129202373104812,0.06196440342781806,0.264997,0.224939,0
1b4f4d04-5783-11ea-b304-86cbb67d2138,0.11008569545154911,0.2801582069874753,0.2208305866842452,0.07778510217534608,0.3052076466710613,0.305208,0.281174,0
1b4f4d06-5783-11ea-b304-86cbb67d2138,0.11799604482531312,0.04087013843111404,0.5702043506921556,0.07844429795649308,0.1852340145023072,0.570204,0.645477,2
1b4f4d0b-5783-11ea-b304-86cbb67d2138,0.0922874093605801,0.17930125247198417,0.0903098220171391,0.2722478576137113,0.3592617007251154,0.359262,0.415648,2
1b4f4d10-5783-11ea-b304-86cbb67d2138,0.12986156888595912,0.27488464073829927,0.2920237310481213,0.15359261700725116,0.14238628872775214,0.292024,0.383863,2
1b4f4d18-5783-11ea-b304-86cbb67d2138,0.1114040870138431,0.22346736980883322,0.09162821357943308,0.4858272907053395,0.08042188529993408,0.485827,0.547677,2
1b4f4d1e-5783-11ea-b304-86cbb67d2138,0.6229400131839157,0.17468688200395519,0.07976268951878708,0.05075807514831905,0.06460118655240607,0.62294,0.535452,1
1b4f4d23-5783-11ea-b304-86cbb67d2138,0.12195121951219512,0.27488464073829927,0.10283454185893211,0.12063282794990111,0.37178642056690836,0.371786,0.457213,2
1b4f4d28-5783-11ea-b304-86cbb67d2138,0.11470006591957811,0.3032300593276203,0.10876730388925511,0.4159525379037574,0.049439683586025046,0.30323,0.347188,2
1b4f4d2d-5783-11ea-b304-86cbb67d2138,0.17930125247198417,0.26763348714568225,0.18984838497033618,0.22742254449571522,0.12920237310481214,0.267633,0.293399,0
1b4f4d32-5783-11ea-b304-86cbb67d2138,0.4634146341463415,0.12326961107448912,0.26697429136453527,0.07580751483190508,0.06394199077125906,0.266974,0.393643,1
1b4f4d37-5783-11ea-b304-86cbb67d2138,0.19775873434410018,0.1008569545154911,0.0936058009228741,0.5075807514831905,0.09294660514172709,0.197759,0.06846,0
1b4f4d3c-5783-11ea-b304-86cbb67d2138,0.23533289386947923,0.1905075807514832,0.23928806855636123,0.15095583388266315,0.17798286090969018,0.190508,0.200489,0
1b4f4d41-5783-11ea-b304-86cbb67d2138,0.07119314436387607,0.05471324983520105,0.44693473961766644,0.25576796308503624,0.16545814106789716,0.446935,0.405868,2
1b4f4d4f-5783-11ea-b304-86cbb67d2138,0.5847066578773896,0.08965062623599208,0.08371786420566908,0.09162821357943308,0.14436387607119314,0.584707,0.618582,1
1b4f4d54-5783-11ea-b304-86cbb67d2138,0.08767303889255108,0.44429795649307846,0.2860909690177983,0.12129202373104812,0.053394858272907054,0.444298,0.352078,2
1b4f4d59-5783-11ea-b304-86cbb67d2138,0.11667765326301911,0.07317073170731707,0.05207646671061305,0.6235992089650626,0.12788398154251812,0.623599,0.603912,2
1b4f4d5e-5783-11ea-b304-86cbb67d2138,0.13249835201054713,0.3862887277521424,0.16479894528675015,0.08899143045484509,0.21951219512195122,0.386289,0.528117,2
1b4f4d5f-5783-11ea-b304-86cbb67d2138,0.19182597231377718,0.11997363216875412,0.17205009887936717,0.4100197758734344,0.0995385629531971,0.41002,0.405868,2
1b4f4d60-5783-11ea-b304-86cbb67d2138,0.24522083058668426,0.35069215557020433,0.14436387607119314,0.0962425840474621,0.15557020435069216,0.350692,0.239609,0
1b4f4d61-5783-11ea-b304-86cbb67d2138,0.3922214897824654,0.11008569545154911,0.24785761371127224,0.09096901779828609,0.15095583388266315,0.392221,0.156479,0
1b4f4d62-5783-11ea-b304-86cbb67d2138,0.5537244561634805,0.11470006591957811,0.0982201713909031,0.05932762030323006,0.16545814106789716,0.553724,0.232274,1
1b4f4d6d-5783-11ea-b304-86cbb67d2138,0.17336849044166117,0.18193803559657218,0.14700065919578115,0.2564271588661833,0.23269611074489124,0.232696,0.166259,0
